"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000144224",2998.20420256443,-0.0532477251098075,0.028807640157043,-1.84838899748577,0.0645460892313741,0.0720219775403321
"ENSG00000144227",119.876963184749,2.18526089291614,0.225371631413058,9.69625537701779,3.1276735184118e-22,5.7206123756134e-22
"ENSG00000144228",383.766972329862,0.682045457951674,0.051497836966737,13.2441573884397,4.87724958810449e-40,1.16558360721411e-39
"ENSG00000144231",697.435857368644,-0.989893709183609,0.055513657211308,-17.8315347773912,4.0222635788651e-71,1.49866629316786e-70
"ENSG00000144233",943.768170368259,-0.231418439793909,0.036615446107176,-6.3202408927787,2.61155874223855e-10,3.83785181297905e-10
"ENSG00000144278",190.86632255639,1.18009975790468,0.158337740895758,7.45305415644146,9.12038225506304e-14,1.4417849792435e-13
"ENSG00000144283",1236.10804090619,-0.950720201719441,0.0625089220539354,-15.2093520489622,3.06562334021101e-52,8.75250703516027e-52
"ENSG00000144306",453.492788766642,0.792566624572888,0.0436276759747784,18.1666019760273,9.48962927491847e-74,3.65817833188567e-73
"ENSG00000144320",887.564012122481,0.667482251881669,0.0537453165173364,12.4193566088007,2.05205109770331e-35,4.56917050295304e-35
"ENSG00000144339",512.171549809417,3.08098654672084,0.15312056603089,20.1213111117894,4.80209462728679e-90,2.30635812380957e-89
"ENSG00000144354",1363.53529015809,-3.420639587309,0.0711669784083252,-48.064982718289,0,0
"ENSG00000144355",1031.8674825948,-3.76865070957599,0.352599712317416,-10.6881843005685,1.15612101554753e-26,2.2654601679016e-26
"ENSG00000144357",1237.45725254594,0.775309085308193,0.0442371662289519,17.5261923717161,9.04258058711738e-69,3.25437464929502e-68
"ENSG00000144362",45.1572651018323,0.378157441801958,0.100113376885762,3.7772918421628,0.000158542914714766,0.000198690842271794
"ENSG00000144366",1244.76600751974,-1.1804458788843,0.111143699272626,-10.6208978701417,2.38258284875045e-26,4.64595140199516e-26
"ENSG00000144369",1267.21376389181,1.22795501944782,0.113071367366718,10.8599997333124,1.78749729668651e-27,3.54725457712958e-27
"ENSG00000144381",6800.96729792982,-1.19211653952278,0.0854484975807841,-13.9512873049141,3.08977683927565e-44,7.83841712728825e-44
"ENSG00000144395",247.54837635354,-11.0284098851126,0.475894769024576,-23.1740514982275,8.31962040170885e-119,6.01747886589353e-118
"ENSG00000144401",286.389654453688,-0.635638531886853,0.0492266616373217,-12.9124850384926,3.82746348408512e-38,8.90011682163735e-38
"ENSG00000144445",451.637171692874,0.550461861157788,0.0566030922043596,9.7249432799608,2.36036908203002e-22,4.32492120616449e-22
"ENSG00000144451",378.128262520926,0.163687321080304,0.0568166882584231,2.88097258213633,0.00396450125784925,0.00470360659527954
"ENSG00000144455",196.906089558495,-0.176169461807822,0.0563924228748959,-3.12399171425292,0.00178415480839129,0.00214665141897594
"ENSG00000144468",293.611234964641,-0.0440689307986767,0.0686109084089038,-0.642302103566927,0.520677048714507,0.539525822474213
"ENSG00000144476",323.800456601501,-0.439665387948994,0.183977856494153,-2.38977340168635,0.0168587707452733,0.0194450256894253
"ENSG00000144485",1669.42984650312,0.737359336646741,0.153050485404006,4.81775235603038,1.45184407596896e-06,1.94164423853746e-06
"ENSG00000144524",1033.089112618,-0.523046473159346,0.0327721400451402,-15.9600951429752,2.42361664091524e-57,7.43436228982397e-57
"ENSG00000144535",549.995060399958,0.416289496504282,0.0430677688299689,9.66591740909051,4.20832248817699e-22,7.6825588318627e-22
"ENSG00000144554",1004.74003538449,-3.20050497373771,0.0777935236363401,-41.1410207962689,0,0
"ENSG00000144559",215.383271214815,-0.7117473637621,0.0568666566366152,-12.5160754272974,6.09763704611739e-36,1.36927045096515e-35
"ENSG00000144560",893.668473036731,0.441385575113203,0.0508123379826776,8.68658268123139,3.73505125725739e-18,6.41436564670957e-18
"ENSG00000144566",949.656205532887,0.50877852677476,0.029739167416123,17.1080286026746,1.29302256532894e-65,4.46313651398231e-65
"ENSG00000144567",1573.30902780098,1.31435390595098,0.0368505316157532,35.6671626791161,1.27711384531348e-278,7.01469779197687e-277
"ENSG00000144579",725.900704944133,-0.622714462675277,0.0723247424449951,-8.60997829544803,7.30744101414641e-18,1.24865011503861e-17
"ENSG00000144580",1534.82248763604,-1.070108896655,0.0464365756465885,-23.044526469807,1.66906211909208e-117,1.1831619214075e-116
"ENSG00000144589",722.439766926669,0.170951829209824,0.0708247973015132,2.41372846408656,0.0157902250526725,0.0182344012743152
"ENSG00000144591",339.106875647806,-0.107468968356461,0.065918089128184,-1.63034107599019,0.10302943072105,0.113263867421731
"ENSG00000144597",441.615378681748,0.113702293384367,0.0522383597941378,2.17660534964052,0.0295100256883141,0.0335920509400046
"ENSG00000144619",430.819320604739,2.16219668618212,0.448211056936587,4.82405922995342,1.40665615248501e-06,1.88198037468323e-06
"ENSG00000144635",1309.41040047602,-0.586717419219214,0.0459332382147722,-12.7732648953656,2.31247143610973e-37,5.32431178312618e-37
"ENSG00000144642",480.205091103084,0.91885109213116,0.131490773072043,6.98795109849822,2.78929568325486e-12,4.28969198003529e-12
"ENSG00000144647",554.354050198539,0.966797524652953,0.0531929514737908,18.1752938663182,8.09935295002515e-74,3.12591862971025e-73
"ENSG00000144655",172.515513996843,0.0792757967699994,0.198505895025221,0.399362430823162,0.689626172012944,0.704518860536005
"ENSG00000144659",479.482265483302,0.0786388163038716,0.0427228611220448,1.840672984874,0.0656694951252108,0.0732255805034029
"ENSG00000144668",358.953320805595,-0.856341265849469,0.173725690273127,-4.9292724898842,8.25363890680849e-07,1.11153169019781e-06
"ENSG00000144674",1419.25639658054,0.0537478191517912,0.0483590301387305,1.11143294225714,0.266382039296899,0.283734054741436
"ENSG00000144677",649.731774909812,-1.27946123311581,0.0612772560486639,-20.8798715154562,8.16110089160087e-97,4.29520576828692e-96
"ENSG00000144711",1432.72515366477,1.25481738402109,0.0562960816221591,22.2896043181658,4.66093189015149e-110,2.96387463783992e-109
"ENSG00000144712",387.983247484253,0.594950787895585,0.0775379605490279,7.67302600794346,1.67985411187686e-14,2.69778768673474e-14
"ENSG00000144713",5699.22995176079,-0.454417371779829,0.0930766009991739,-4.88218700405554,1.04915687758874e-06,1.40920726837129e-06
"ENSG00000144724",2085.80522744839,0.399743254999281,0.0899470576235073,4.44420602030687,8.82170410282862e-06,1.15109735933593e-05
"ENSG00000144730",5603.14702763343,-1.12421554874121,0.148464970815315,-7.5722612719178,3.66782836517394e-14,5.84763921058588e-14
"ENSG00000144736",337.644313785958,-1.56054968864745,0.0535471775623389,-29.1434536737381,1.01124846945724e-186,1.90104717715973e-185
"ENSG00000144741",208.191975012352,-0.41692152601106,0.0621063171176126,-6.71302929171478,1.90624828191902e-11,2.88102233411363e-11
"ENSG00000144744",945.260204855618,-0.269140822366685,0.0375436415881977,-7.16874578440716,7.56879516873658e-13,1.17572401368397e-12
"ENSG00000144746",1610.35928834655,1.12458668881201,0.0598580877601362,18.7875478635146,9.54909164265926e-79,3.93900030259694e-78
"ENSG00000144747",634.150173411254,0.799442956111812,0.0317877688746341,25.1493887244709,1.43512438944676e-139,1.42020048406678e-138
"ENSG00000144749",2576.28473914216,1.1388587623066,0.148688627288376,7.65935353009769,1.86871335436084e-14,2.9993234148047e-14
"ENSG00000144791",540.528582423929,-0.724655346750774,0.0547560847905691,-13.2342432721849,5.56544506910843e-40,1.32888701518843e-39
"ENSG00000144792",335.52845615785,-0.37753775240512,0.0678474503285007,-5.56450906522168,2.62891463231932e-08,3.68439718313235e-08
"ENSG00000144802",122.469790396697,0.175313680407063,0.132418273970875,1.32393872197445,0.185523396781291,0.200174486388673
"ENSG00000144815",639.510042788243,0.702728357495056,0.0682647757388296,10.2941575635374,7.48720630941056e-25,1.42849507952479e-24
"ENSG00000144824",1154.42767271084,-1.90189105659046,0.178587679174029,-10.6496207654791,1.7507683268423e-26,3.42249802624564e-26
"ENSG00000144827",750.012224651994,-0.0711892923051355,0.100748187748184,-0.706606182168461,0.479811246022141,0.499335610051526
"ENSG00000144834",1186.10558355303,1.10483282770741,0.134762599632255,8.19836386892444,2.43680806720845e-16,4.06002386442059e-16
"ENSG00000144840",479.641576250301,-0.348185367915678,0.0498992317122556,-6.97777011725336,2.99901840483907e-12,4.60833019624539e-12
"ENSG00000144848",561.300654436918,-0.443993889799096,0.0475745654753745,-9.33258949109931,1.03315325648413e-20,1.85018079892038e-20
"ENSG00000144857",2610.82324283372,-0.735995418496749,0.112457337437096,-6.54466338320016,5.96295424520921e-11,8.91094997585906e-11
"ENSG00000144867",629.143927552482,-0.219369222402912,0.0785995622510868,-2.79097257185905,0.00525499252142267,0.00620365795821466
"ENSG00000144895",1040.61505996508,-0.678770049180726,0.0542012860792228,-12.5231354877559,5.57869685782464e-36,1.2537705639005e-35
"ENSG00000144909",813.748734057614,-0.437307257108847,0.062639956486125,-6.98128290056703,2.92496638321803e-12,4.49665161646593e-12
"ENSG00000144935",342.453511094466,0.192760085594121,0.0618226971217812,3.11795011489733,0.00182113625209982,0.0021898588138679
"ENSG00000145012",1093.95138802025,-0.964813804733253,0.0831970538247219,-11.5967304174725,4.28124020418505e-31,8.96218693721715e-31
"ENSG00000145014",389.113498317919,-0.399822898583656,0.073467647756264,-5.4421627858579,5.26375396396513e-08,7.31446853571451e-08
"ENSG00000145016",793.181416524465,1.55657175396654,0.0512429323345995,30.3763208514813,1.12887208559352e-202,2.60979919449079e-201
"ENSG00000145020",276.287591657626,0.253677484479963,0.118688408362283,2.13734001475225,0.0325703464826645,0.0369933683455869
"ENSG00000145022",163.510725626644,0.3956321928766,0.0975287045171977,4.05657180452793,4.97982576483461e-05,6.35009256145317e-05
"ENSG00000145029",362.247495014289,1.16878764464794,0.0593299559102076,19.6997895366184,2.16518198212326e-86,9.91320242892128e-86
"ENSG00000145041",852.074450807226,-0.453475477483491,0.0460140419873018,-9.85515416377971,6.51166879703152e-23,1.20528095521669e-22
"ENSG00000145050",952.791091791363,-1.28681925653675,0.0924653712410752,-13.9167694809959,5.01043909714084e-44,1.26520930487506e-43
"ENSG00000145075",188.074716861569,0.983811301976609,0.0901723828830163,10.9103394023971,1.02871555386722e-27,2.05016634429547e-27
"ENSG00000145147",2310.65127293327,-0.171453967894376,0.126290242953202,-1.35761848172158,0.174584775413089,0.188745284277506
"ENSG00000145191",1107.30780840812,-0.229473771624199,0.0329612180295255,-6.96193239638913,3.3563657243388e-12,5.15066512056793e-12
"ENSG00000145214",718.566508491726,1.33088611677309,0.0588002191338861,22.6340332804323,2.0041011714934e-113,1.33617629226086e-112
"ENSG00000145216",914.396957227106,-0.737719003315356,0.039650137688987,-18.6057110091766,2.88834302390633e-77,1.16616671473357e-76
"ENSG00000145220",356.903756098683,-2.24514737690321,0.101500423084479,-22.1195863886654,2.04797338920948e-108,1.2702246470095e-107
"ENSG00000145241",426.163545941363,-1.22354552872251,0.0646968564895179,-18.9119780328236,9.08829571262122e-80,3.80453258885381e-79
"ENSG00000145246",269.364061875875,1.21851315673046,0.095949881121707,12.6994754186808,5.95273763977126e-37,1.35967638414424e-36
"ENSG00000145247",104.773032192841,-0.736166054178354,0.28256695628362,-2.60528005064911,0.00917991925071957,0.0107211500746185
"ENSG00000145284",2246.09181221647,2.14347090879342,0.110488400223156,19.3999632944653,7.72265142240426e-84,3.42466427748342e-83
"ENSG00000145293",1126.46322086945,-0.140669305681217,0.0794281725571708,-1.77102533210072,0.0765564892999575,0.0849198032570957
"ENSG00000145331",177.425744446727,-1.07302564475008,0.0655202392603655,-16.3770104758939,2.7912939572003e-60,8.94613265938016e-60
"ENSG00000145332",738.598634286538,0.290604345030399,0.0491342938548756,5.91449112688453,3.32903182530728e-09,4.76265998746872e-09
