"Ensembl" "moduleColor" "moduleLabel"
"ENSG00000056487" "lightyellow" "M8"
"ENSG00000056586" "grey" "M0"
"ENSG00000056661" "magenta" "M17"
"ENSG00000056736" "grey" "M0"
"ENSG00000056972" "grey" "M0"
"ENSG00000056998" "cyan" "M3"
"ENSG00000057019" "grey" "M0"
"ENSG00000057252" "grey" "M0"
"ENSG00000057294" "pink" "M16"
"ENSG00000057608" "pink" "M16"
"ENSG00000057663" "grey" "M0"
"ENSG00000057704" "grey" "M0"
"ENSG00000057757" "grey" "M0"
"ENSG00000057935" "grey" "M0"
"ENSG00000058056" "grey" "M0"
"ENSG00000058063" "grey" "M0"
"ENSG00000058091" "grey" "M0"
"ENSG00000058262" "grey" "M0"
"ENSG00000058272" "grey" "M0"
"ENSG00000058404" "turquoise" "M1"
"ENSG00000058453" "lightcyan" "M5"
"ENSG00000058600" "lightcyan" "M5"
"ENSG00000058668" "grey60" "M6"
"ENSG00000058673" "grey" "M0"
"ENSG00000058729" "yellow" "M12"
"ENSG00000058799" "grey" "M0"
"ENSG00000058804" "salmon" "M20"
"ENSG00000059122" "grey" "M0"
"ENSG00000059145" "grey" "M0"
"ENSG00000059573" "salmon" "M20"
"ENSG00000059588" "grey" "M0"
"ENSG00000059691" "grey" "M0"
"ENSG00000059728" "grey" "M0"
"ENSG00000059758" "grey" "M0"
"ENSG00000059769" "grey" "M0"
"ENSG00000059804" "grey60" "M6"
"ENSG00000059915" "turquoise" "M1"
"ENSG00000060069" "purple" "M18"
"ENSG00000060138" "grey" "M0"
"ENSG00000060237" "grey" "M0"
"ENSG00000060339" "grey" "M0"
"ENSG00000060491" "grey" "M0"
"ENSG00000060642" "grey" "M0"
"ENSG00000060656" "grey" "M0"
"ENSG00000060688" "grey" "M0"
"ENSG00000060709" "grey" "M0"
"ENSG00000060718" "pink" "M16"
"ENSG00000060749" "grey" "M0"
"ENSG00000060762" "grey" "M0"
"ENSG00000060971" "grey" "M0"
"ENSG00000060982" "pink" "M16"
"ENSG00000061273" "lightyellow" "M8"
"ENSG00000061337" "grey60" "M6"
"ENSG00000061656" "turquoise" "M1"
"ENSG00000061676" "grey" "M0"
"ENSG00000061794" "grey" "M0"
"ENSG00000061918" "grey" "M0"
"ENSG00000061936" "grey" "M0"
"ENSG00000061938" "lightcyan" "M5"
"ENSG00000061987" "grey" "M0"
"ENSG00000062038" "grey" "M0"
"ENSG00000062194" "grey" "M0"
"ENSG00000062370" "grey" "M0"
"ENSG00000062485" "grey" "M0"
"ENSG00000062598" "grey" "M0"
"ENSG00000062650" "grey" "M0"
